id_vuelo,numero_vuelo,id_destino,aerolinea,precio_base,fecha_salida,capacidad_total,asientos_disponibles,modelo_avion
83,FL686133,98,Sky,335.71,2026-05-26 22:25:03,370,211,Boeing 737
84,FL281013,264,Delta,671.47,2026-05-04 00:07:12,359,338,Airbus A320
85,FL921537,69,Sky,730.77,2026-05-28 04:19:25,359,26,Boeing 737
86,FL510188,86,Delta,1013.46,2026-05-25 04:11:14,261,11,Airbus A350
87,FL391395,132,Sky,350.62,2026-05-19 22:00:45,313,26,Airbus A350
88,FL445712,297,Delta,1037.73,2026-05-08 01:38:11,240,198,Boeing 787
89,FL355127,70,Iberia,220.12,2026-05-03 15:53:35,373,297,Airbus A320
90,FL674382,100,LATAM,392.35,2026-05-06 10:37:08,184,165,Boeing 787
91,FL607751,28,Sky,153.74,2026-05-14 21:04:35,186,153,Airbus A320
92,FL696146,116,American Airlines,972.74,2026-05-01 04:53:26,260,177,Airbus A350
93,FL215648,57,Delta,533.66,2026-05-08 12:45:35,150,62,Airbus A320
94,FL499678,17,LATAM,753.0,2026-05-18 22:22:29,329,109,Boeing 787
95,FL848438,245,Delta,196.46,2026-05-03 06:44:28,388,233,Airbus A350
96,FL357156,191,Avianca,436.08,2026-05-06 10:29:36,346,261,Airbus A350
97,FL313593,147,American Airlines,1166.85,2026-05-12 15:21:13,176,33,Airbus A350
98,FL993742,148,Delta,678.47,2026-05-29 22:22:56,336,300,Airbus A350
99,FL455862,205,Avianca,1114.54,2026-05-27 20:37:25,270,98,Boeing 787
100,FL456904,159,American Airlines,911.91,2026-05-09 14:25:18,345,166,Boeing 787
101,FL979339,247,LATAM,1191.84,2026-05-08 01:45:12,385,112,Boeing 787
102,FL158214,36,LATAM,1041.43,2026-05-27 12:21:12,257,192,Airbus A350
103,FL826627,189,Iberia,828.42,2026-05-19 03:02:08,204,48,Boeing 787
104,FL609172,2,LATAM,101.97,2026-05-14 08:35:24,221,90,Airbus A320
105,FL462336,193,Iberia,313.0,2026-05-18 15:16:25,311,133,Airbus A350
106,FL630203,164,American Airlines,397.82,2026-04-30 19:54:20,364,96,Boeing 737
107,FL391489,291,Iberia,806.41,2026-05-08 05:06:04,287,169,Airbus A320
108,FL962666,131,Delta,136.95,2026-05-11 05:03:59,206,142,Boeing 787
109,FL530746,252,American Airlines,1073.37,2026-05-21 19:40:33,330,115,Boeing 737
110,FL690007,36,Iberia,105.36,2026-05-20 03:35:42,169,154,Boeing 737
111,FL519700,217,American Airlines,260.9,2026-05-07 07:21:06,309,139,Boeing 737
112,FL335791,248,American Airlines,293.1,2026-05-15 19:03:23,352,317,Boeing 787
113,FL993528,227,Iberia,818.65,2026-05-09 00:02:09,315,213,Airbus A320
114,FL497492,220,Delta,528.51,2026-05-01 00:08:45,212,87,Airbus A320
115,FL237176,121,LATAM,1089.25,2026-05-25 04:25:53,182,151,Airbus A320
116,FL263574,142,Iberia,784.81,2026-05-23 15:45:00,179,89,Boeing 787
117,FL861392,151,Iberia,1075.18,2026-05-22 20:31:33,306,208,Boeing 737
118,FL197077,35,Iberia,581.4,2026-05-20 10:16:15,352,219,Boeing 737
119,FL397476,157,American Airlines,187.17,2026-05-06 17:14:47,379,130,Boeing 737
120,FL821426,259,Sky,162.36,2026-05-22 18:03:05,286,2,Airbus A320
121,FL950217,145,Iberia,258.38,2026-05-23 15:46:49,320,26,Airbus A320
122,FL868926,140,Iberia,640.48,2026-05-15 10:06:57,189,88,Boeing 737
123,FL226128,221,Avianca,764.42,2026-05-05 12:20:18,181,95,Boeing 787
124,FL327005,162,American Airlines,394.08,2026-05-23 04:35:02,241,102,Airbus A350
125,FL764697,126,Sky,521.64,2026-05-16 10:51:37,316,21,Airbus A320
126,FL237490,190,Iberia,741.22,2026-05-20 05:43:37,181,146,Airbus A320
127,FL864685,194,Iberia,742.38,2026-05-09 05:48:30,367,244,Boeing 787
128,FL615133,215,LATAM,1077.9,2026-05-03 01:04:33,312,232,Boeing 737
129,FL989270,31,Delta,1144.73,2026-05-15 22:48:35,189,68,Boeing 787
130,FL191756,266,Delta,407.65,2026-05-23 13:11:50,393,46,Airbus A350
131,FL617139,58,LATAM,1095.46,2026-05-20 16:32:58,308,122,Boeing 737
132,FL651953,240,Delta,973.27,2026-05-27 15:20:37,308,51,Airbus A350
133,FL159413,23,Sky,1104.45,2026-05-19 20:43:42,163,87,Boeing 787
134,FL454700,1,American Airlines,412.09,2026-05-17 07:42:42,329,60,Boeing 787
135,FL654148,201,Avianca,438.08,2026-05-25 07:56:14,257,232,Boeing 787
136,FL314292,57,Delta,811.3,2026-05-29 21:53:15,361,24,Airbus A350
137,FL672807,95,Sky,647.2,2026-05-08 18:23:43,193,2,Boeing 737
138,FL306935,51,American Airlines,1176.07,2026-05-20 10:39:42,263,263,Boeing 787
139,FL971585,30,Iberia,235.17,2026-05-13 11:53:46,331,199,Airbus A350
140,FL660479,257,Avianca,562.82,2026-05-04 13:06:20,170,18,Boeing 737
141,FL912089,126,Delta,696.59,2026-05-16 06:49:42,288,60,Airbus A320
142,FL129230,13,Delta,1026.91,2026-05-19 21:48:19,250,117,Airbus A350
143,FL300245,161,Sky,702.46,2026-05-28 00:36:46,293,229,Airbus A350
144,FL643297,288,Sky,566.06,2026-05-26 04:08:42,334,67,Airbus A320
145,FL753844,202,Iberia,459.31,2026-05-18 11:46:53,264,195,Boeing 787
146,FL589766,62,LATAM,656.71,2026-05-19 03:33:25,386,353,Airbus A320
147,FL434491,143,Delta,414.18,2026-05-01 06:35:52,299,34,Airbus A320
148,FL455019,29,LATAM,1107.15,2026-05-24 05:02:58,353,30,Airbus A320
149,FL862331,220,Avianca,399.73,2026-05-05 10:19:06,313,72,Airbus A320
150,FL501668,261,Delta,482.35,2026-05-20 09:21:31,357,278,Airbus A350
151,FL138679,300,Iberia,443.38,2026-05-23 18:26:14,185,171,Boeing 787
152,FL409766,99,Delta,409.81,2026-05-18 22:54:08,281,143,Airbus A320
153,FL438975,4,Avianca,406.1,2026-05-22 10:31:00,338,3,Airbus A320
154,FL204452,181,American Airlines,1123.4,2026-05-21 19:14:44,301,60,Airbus A320
155,FL362513,257,LATAM,671.87,2026-05-16 19:34:32,277,168,Airbus A320
156,FL597840,84,LATAM,1081.07,2026-05-03 13:41:19,357,27,Airbus A350
157,FL832423,98,American Airlines,1067.08,2026-05-22 07:25:39,394,366,Airbus A320
158,FL395484,229,American Airlines,1045.88,2026-05-16 17:11:52,268,178,Boeing 787
159,FL200742,106,LATAM,384.97,2026-05-13 13:41:05,262,118,Boeing 787
160,FL543452,247,Iberia,471.75,2026-05-17 12:21:23,159,99,Boeing 737
161,FL418132,288,Iberia,114.21,2026-05-03 09:47:11,172,102,Airbus A320
162,FL728661,207,LATAM,193.87,2026-05-13 11:47:02,319,190,Airbus A320
163,FL632923,144,LATAM,910.58,2026-05-21 07:05:25,259,86,Airbus A350
164,FL470206,139,Avianca,172.58,2026-05-19 03:34:38,395,317,Airbus A350
165,FL638532,46,American Airlines,724.75,2026-05-04 15:48:52,260,110,Airbus A350
166,FL882172,249,American Airlines,692.48,2026-05-26 20:49:01,353,258,Boeing 787
167,FL365285,111,Iberia,171.74,2026-05-17 04:10:30,305,213,Airbus A320
168,FL644780,27,American Airlines,174.3,2026-05-08 22:39:58,285,140,Airbus A320
169,FL725086,197,Delta,100.27,2026-05-19 07:51:02,230,127,Boeing 737
170,FL988230,43,Avianca,824.95,2026-05-26 02:44:53,220,114,Airbus A320
171,FL981869,173,LATAM,813.84,2026-04-30 21:50:19,393,391,Airbus A350
172,FL496501,258,Iberia,197.73,2026-05-24 21:56:07,176,106,Airbus A350
173,FL949182,234,LATAM,231.5,2026-05-30 09:53:24,243,86,Airbus A320
174,FL777742,147,Delta,949.46,2026-05-29 09:28:09,304,238,Airbus A320
175,FL625217,275,Sky,342.04,2026-05-05 12:43:50,339,335,Boeing 737
176,FL949169,233,Iberia,167.53,2026-05-01 17:34:58,217,144,Airbus A350
177,FL316231,2,Delta,928.63,2026-05-19 10:49:53,249,19,Airbus A350
178,FL488538,213,Avianca,252.02,2026-05-14 07:05:11,330,309,Airbus A320
179,FL804253,78,Sky,1157.44,2026-05-28 14:03:07,211,91,Boeing 787
180,FL131434,137,Sky,823.26,2026-05-15 03:19:49,180,61,Airbus A320
181,FL828460,148,Iberia,189.21,2026-05-24 00:32:49,326,200,Airbus A350
182,FL565100,2,Iberia,1152.59,2026-05-19 03:15:18,166,38,Boeing 737
183,FL513696,211,LATAM,634.49,2026-05-04 05:40:17,221,161,Boeing 787
184,FL106244,276,Sky,892.31,2026-05-26 01:21:21,254,2,Boeing 737
185,FL850421,103,American Airlines,1117.84,2026-05-29 00:29:43,342,218,Airbus A320
186,FL141778,290,American Airlines,896.25,2026-05-24 03:26:16,380,192,Airbus A320
187,FL549422,280,Sky,174.4,2026-05-04 10:20:55,388,312,Boeing 737
188,FL614359,159,Sky,1139.67,2026-05-25 00:22:16,373,304,Airbus A350
189,FL910589,292,Avianca,783.3,2026-05-25 03:46:28,205,136,Airbus A350
190,FL319508,175,Iberia,320.73,2026-05-12 20:29:11,311,288,Airbus A320
191,FL180415,185,LATAM,203.58,2026-05-08 03:58:24,190,118,Boeing 787
192,FL302628,33,Delta,931.06,2026-05-23 10:18:30,271,225,Boeing 737
193,FL303619,193,LATAM,1022.11,2026-05-05 11:54:23,248,190,Airbus A320
194,FL974748,61,American Airlines,599.17,2026-05-01 05:02:25,205,48,Boeing 787
195,FL199504,253,LATAM,300.58,2026-05-16 09:16:40,288,35,Airbus A350
196,FL607732,98,Sky,532.42,2026-05-09 00:55:15,360,199,Boeing 787
197,FL316069,44,LATAM,791.13,2026-05-02 09:23:49,388,60,Boeing 787
198,FL664780,259,Avianca,142.09,2026-05-27 01:59:27,252,128,Boeing 787
199,FL201989,57,Iberia,1022.32,2026-05-27 03:41:56,193,117,Boeing 737
200,FL825961,287,Avianca,991.0,2026-05-09 18:31:21,162,10,Boeing 787
201,FL986731,160,Iberia,623.44,2026-05-06 23:10:36,195,132,Airbus A350
202,FL115881,52,Iberia,1085.05,2026-05-04 09:16:45,265,106,Boeing 787
203,FL415792,287,Avianca,778.39,2026-05-16 12:21:43,296,193,Airbus A320
204,FL633609,121,LATAM,496.57,2026-05-19 02:33:48,212,34,Boeing 737
205,FL505111,5,Sky,167.96,2026-05-22 12:37:38,227,122,Airbus A350
206,FL297432,21,Iberia,871.18,2026-05-20 14:57:49,328,250,Boeing 737
207,FL207499,137,LATAM,1066.14,2026-05-06 13:33:31,389,311,Airbus A350
208,FL660305,23,Delta,1024.3,2026-05-09 21:41:03,396,166,Boeing 737
209,FL959010,32,Sky,510.93,2026-05-13 12:13:58,183,57,Boeing 787
210,FL629277,40,Avianca,540.95,2026-05-06 08:44:22,243,160,Boeing 737
211,FL495154,101,American Airlines,735.54,2026-05-10 08:52:02,313,24,Boeing 737
212,FL375029,62,Sky,820.55,2026-05-19 10:03:08,323,217,Airbus A350
213,FL419259,46,Iberia,385.12,2026-05-21 18:38:45,309,301,Airbus A320
214,FL807958,172,Delta,632.48,2026-05-15 07:22:08,234,176,Boeing 737
215,FL157870,110,Avianca,281.78,2026-05-15 06:41:08,228,44,Boeing 737
216,FL598760,103,LATAM,889.04,2026-05-20 05:31:03,304,163,Boeing 737
217,FL286942,54,Iberia,890.74,2026-05-17 22:58:37,383,29,Boeing 787
218,FL216142,117,Sky,994.31,2026-05-21 18:02:39,321,22,Boeing 787
219,FL536460,286,LATAM,1116.06,2026-05-24 07:31:05,356,1,Airbus A320
220,FL471026,298,Delta,639.59,2026-05-19 03:08:07,208,25,Boeing 787
221,FL198818,7,Avianca,731.35,2026-05-02 02:34:02,356,93,Airbus A350
222,FL873886,116,Avianca,983.78,2026-05-01 18:30:21,293,107,Boeing 787
223,FL914837,282,Avianca,827.03,2026-05-22 10:43:09,297,142,Boeing 787
224,FL372812,72,Iberia,304.72,2026-05-24 20:53:21,361,33,Boeing 737
225,FL724661,131,Iberia,966.76,2026-05-26 07:50:57,248,171,Boeing 737
226,FL133398,46,Iberia,140.33,2026-05-17 01:33:52,246,111,Airbus A320
227,FL164621,278,American Airlines,884.69,2026-05-02 02:34:36,185,71,Boeing 737
228,FL635261,216,American Airlines,282.31,2026-05-04 19:31:44,250,236,Airbus A350
229,FL899944,91,Delta,321.48,2026-05-12 19:04:43,348,338,Airbus A320
230,FL374045,121,Delta,822.94,2026-05-01 03:24:54,278,36,Boeing 787
231,FL590468,160,Avianca,642.06,2026-05-16 13:48:34,384,106,Airbus A350
232,FL227574,40,American Airlines,1107.23,2026-05-06 13:50:29,346,52,Airbus A350
233,FL840189,43,Sky,947.84,2026-05-25 06:41:39,161,150,Boeing 787
234,FL997962,111,Iberia,305.37,2026-05-08 10:08:38,379,30,Boeing 737
235,FL731386,219,Delta,196.61,2026-05-07 12:28:48,350,320,Boeing 787
236,FL663032,183,American Airlines,946.79,2026-05-07 14:09:37,168,2,Boeing 737
237,FL822314,110,Delta,173.57,2026-05-04 09:34:45,187,59,Airbus A320
238,FL918750,199,Delta,900.86,2026-05-19 05:24:54,177,31,Boeing 787
239,FL502828,130,Iberia,214.47,2026-05-01 05:53:35,369,160,Boeing 787
240,FL821758,236,Delta,645.37,2026-05-05 15:54:51,336,61,Airbus A350
241,FL236492,131,Delta,687.19,2026-05-27 20:52:52,321,205,Boeing 737
242,FL273035,49,Avianca,1163.06,2026-05-17 12:43:06,306,51,Boeing 787
243,FL479733,181,Delta,1103.11,2026-05-27 19:45:47,324,63,Boeing 787
244,FL317638,242,Avianca,140.09,2026-05-30 03:05:37,242,126,Airbus A350
245,FL717019,209,Delta,533.04,2026-05-21 20:13:36,233,189,Boeing 787
246,FL827942,142,American Airlines,836.08,2026-05-07 19:59:08,257,166,Airbus A320
247,FL927288,228,Avianca,826.29,2026-05-12 15:41:57,334,1,Airbus A320
248,FL920498,58,Sky,366.86,2026-05-19 10:17:37,152,18,Boeing 787
249,FL366696,127,Delta,1113.14,2026-05-15 12:18:44,243,206,Airbus A350
250,FL254131,271,Iberia,903.39,2026-05-25 18:35:27,321,188,Airbus A350
251,FL301035,277,LATAM,405.36,2026-05-13 22:32:03,376,288,Boeing 737
252,FL588667,131,Iberia,624.5,2026-05-12 12:22:45,288,110,Airbus A320
253,FL937017,216,Delta,464.7,2026-05-03 06:18:11,324,88,Boeing 787
254,FL153138,165,Iberia,382.43,2026-05-26 07:09:36,240,161,Airbus A350
255,FL124033,120,Sky,818.65,2026-05-20 17:39:00,157,79,Boeing 787
256,FL196957,159,Delta,313.48,2026-05-05 15:46:04,272,64,Boeing 737
257,FL644589,57,LATAM,450.81,2026-05-06 06:02:22,232,9,Airbus A320
258,FL871339,10,American Airlines,110.18,2026-05-13 05:53:53,224,74,Airbus A350
259,FL469659,237,Delta,358.78,2026-05-22 05:16:02,335,134,Boeing 787
260,FL831458,9,LATAM,811.9,2026-05-13 02:47:46,310,269,Airbus A350
261,FL759711,125,Avianca,624.74,2026-05-14 03:18:56,292,277,Airbus A350
262,FL885433,158,American Airlines,1108.59,2026-05-16 16:17:35,154,83,Airbus A350
263,FL582871,117,Delta,421.67,2026-05-08 11:49:55,233,165,Airbus A350
264,FL682884,299,Avianca,532.65,2026-05-02 16:47:22,329,156,Airbus A350
265,FL999577,175,American Airlines,1100.89,2026-05-03 17:11:38,150,127,Airbus A350
266,FL908858,138,Sky,482.5,2026-05-20 10:34:01,164,90,Airbus A350
267,FL629265,183,Sky,956.76,2026-05-01 15:29:09,221,146,Airbus A320
268,FL827288,295,Sky,358.65,2026-05-24 13:02:55,393,314,Airbus A350
269,FL479693,256,Iberia,1120.91,2026-05-22 10:51:03,345,143,Boeing 737
270,FL640753,188,Avianca,216.79,2026-05-01 08:29:27,367,0,Boeing 787
271,FL899337,69,Iberia,729.91,2026-05-26 12:53:23,378,88,Airbus A350
272,FL232727,256,Delta,640.32,2026-05-14 13:48:50,166,139,Airbus A320
273,FL682058,241,American Airlines,781.52,2026-05-05 13:11:28,218,100,Boeing 737
274,FL681603,252,Iberia,1022.43,2026-05-12 00:26:51,228,101,Boeing 737
275,FL492346,47,Delta,907.77,2026-05-18 09:06:00,250,138,Boeing 737
276,FL784275,17,Delta,920.91,2026-05-15 09:30:21,226,207,Boeing 787
277,FL992214,207,Sky,1054.91,2026-05-10 09:50:38,221,2,Airbus A350
278,FL724665,70,LATAM,187.35,2026-05-18 06:42:22,252,32,Boeing 787
279,FL337651,232,Iberia,893.93,2026-05-23 14:55:45,333,113,Airbus A350
280,FL527454,294,Iberia,643.06,2026-05-09 03:59:24,155,39,Boeing 737
281,FL711903,298,Delta,676.44,2026-05-16 16:29:25,294,262,Airbus A350
282,FL252970,147,Avianca,609.73,2026-05-16 11:04:41,255,89,Airbus A320
283,FL281593,266,Sky,806.39,2026-05-19 08:24:43,153,24,Airbus A320
284,FL258816,246,Sky,865.95,2026-05-09 13:50:21,301,52,Boeing 787
285,FL139220,38,Iberia,1003.13,2026-05-19 20:31:06,309,290,Boeing 787
286,FL734314,126,Sky,354.88,2026-05-06 09:45:10,174,60,Airbus A350
287,FL706574,37,LATAM,749.55,2026-05-07 06:43:06,255,132,Airbus A350
288,FL205151,4,LATAM,1136.93,2026-05-09 17:31:11,386,2,Airbus A350
289,FL869914,245,American Airlines,202.77,2026-05-14 21:12:49,155,66,Airbus A320
290,FL228347,136,American Airlines,104.41,2026-04-30 20:33:38,296,131,Airbus A320
291,FL368116,51,Iberia,849.43,2026-05-13 04:46:03,255,74,Airbus A350
292,FL537546,88,Sky,348.39,2026-05-18 05:22:44,398,395,Airbus A320
293,FL104320,105,LATAM,123.91,2026-05-22 10:17:32,329,218,Airbus A320
294,FL276293,101,Avianca,111.37,2026-05-03 22:58:05,171,3,Airbus A320
295,FL553502,226,Delta,644.13,2026-05-17 23:18:21,174,105,Boeing 787
296,FL751642,194,American Airlines,316.52,2026-05-22 08:26:25,156,50,Airbus A350
297,FL274929,42,Sky,330.42,2026-05-06 21:44:11,202,139,Airbus A320
298,FL472709,214,Avianca,143.65,2026-05-23 01:39:44,183,91,Boeing 787
299,FL841586,77,Iberia,113.34,2026-05-16 16:14:01,360,10,Airbus A320
300,FL301096,86,Iberia,649.92,2026-05-10 22:40:09,344,332,Airbus A350
301,FL311589,281,Delta,1103.93,2026-05-24 19:48:11,152,99,Boeing 787
302,FL372520,197,Iberia,735.26,2026-05-09 13:48:14,217,70,Airbus A350
303,FL517328,43,Sky,406.04,2026-05-03 04:52:25,150,47,Boeing 737
304,FL606151,158,Avianca,836.57,2026-05-10 12:19:10,375,86,Boeing 787
305,FL642759,47,Avianca,790.75,2026-05-10 23:52:50,342,120,Airbus A320
306,FL426102,76,Sky,1059.74,2026-05-12 13:33:18,272,30,Airbus A350
307,FL865329,145,Iberia,499.56,2026-05-11 11:03:09,372,284,Boeing 737
308,FL927037,90,Iberia,196.05,2026-05-25 16:37:38,184,47,Airbus A350
309,FL707261,220,Delta,848.46,2026-05-24 14:18:42,283,139,Airbus A350
310,FL548685,92,American Airlines,985.36,2026-05-25 23:50:04,265,154,Boeing 787
311,FL762223,39,Sky,907.05,2026-05-24 03:30:22,155,68,Boeing 787
312,FL211417,112,Delta,284.29,2026-05-04 03:50:32,230,190,Airbus A320
313,FL348174,202,Iberia,351.31,2026-05-08 12:23:35,256,8,Airbus A320
314,FL902833,24,Sky,752.82,2026-05-12 04:25:28,390,135,Boeing 737
315,FL283040,35,LATAM,731.73,2026-05-09 03:47:39,368,191,Boeing 787
316,FL312176,298,Delta,581.71,2026-05-17 22:20:36,240,136,Boeing 737
317,FL679631,60,Sky,623.65,2026-05-02 00:51:58,276,200,Airbus A320
318,FL829700,284,Delta,380.41,2026-05-02 07:45:35,302,178,Boeing 787
319,FL698638,22,LATAM,457.38,2026-05-03 03:54:59,201,185,Boeing 737
320,FL841150,91,Iberia,194.41,2026-05-28 07:36:02,336,142,Airbus A320
321,FL617772,218,Iberia,293.77,2026-05-28 07:25:25,245,133,Boeing 737
322,FL791597,41,Delta,334.6,2026-05-13 13:26:32,217,186,Boeing 787
323,FL298893,5,Avianca,888.96,2026-05-13 06:59:41,311,297,Airbus A320
324,FL173875,35,Sky,920.03,2026-05-23 17:08:22,326,160,Airbus A320
325,FL915358,79,Delta,1170.95,2026-05-28 03:51:09,178,115,Boeing 737
326,FL505778,242,Avianca,1103.59,2026-05-29 08:01:58,359,337,Airbus A350
327,FL763996,77,Delta,1071.26,2026-05-02 21:45:00,252,251,Boeing 737
328,FL999021,258,Sky,979.74,2026-05-02 10:48:40,383,264,Boeing 737
329,FL183088,122,Sky,412.21,2026-05-25 02:00:55,367,311,Airbus A350
330,FL421504,95,American Airlines,474.61,2026-05-07 05:33:18,273,19,Boeing 737
